sep=,
Value,StartIndex,EndIndex,Text,Color
265.482.239 ns,0,207408,,Purple
396.800 ns,207408,207718,,Green
396.800 ns,207718,208028,,Purple
401.920 ns,208028,208342,,Green
395.520 ns,208342,208651,,Purple
396.800 ns,208651,208961,,Green
401.920 ns,208961,209275,,Purple
396.800 ns,209275,209585,,Green
401.920 ns,209585,209899,,Purple
395.520 ns,209899,210208,,Green
396.800 ns,210208,210518,,Purple
401.920 ns,210518,210832,,Green
395.520 ns,210832,211141,,Purple
403.200 ns,211141,211456,,Green
395.520 ns,211456,211765,,Purple
396.800 ns,211765,212075,,Green
401.920 ns,212075,212389,,Purple
395.520 ns,212389,212698,,Green
403.200 ns,212698,213013,,Purple
395.520 ns,213013,213322,,Green
395.520 ns,213322,213631,,Purple
403.200 ns,213631,213946,,Green
395.520 ns,213946,214255,,Purple
403.200 ns,214255,214570,,Green
395.520 ns,214570,214879,,Purple
395.520 ns,214879,215188,,Green
1.195.520 ns,215188,216122,,Purple
401.920 ns,216122,216436,,Green
395.520 ns,216436,216745,,Purple
403.200 ns,216745,217060,,Green
395.520 ns,217060,217369,,Purple
798.720 ns,217369,217993,,Green
798.720 ns,217993,218617,,Purple
395.520 ns,218617,218926,,Green
396.800 ns,218926,219236,,Purple
797.440 ns,219236,219859,,Green
798.720 ns,219859,220483,,Purple
798.720 ns,220483,221107,,Green
792.320 ns,221107,221726,,Purple
401.920 ns,221726,222040,,Green
395.520 ns,222040,222349,,Purple
798.720 ns,222349,222973,,Green
798.720 ns,222973,223597,,Purple
798.720 ns,223597,224221,,Green
791.040 ns,224221,224839,,Purple
798.720 ns,224839,225463,,Green
798.720 ns,225463,226087,,Purple
798.720 ns,226087,226711,,Green
792.320 ns,226711,227330,,Purple
797.440 ns,227330,227953,,Green
798.720 ns,227953,228577,,Purple
396.800 ns,228577,228887,,Green
401.920 ns,228887,229201,,Purple
797.440 ns,229201,229824,,Green
396.800 ns,229824,230134,,Purple
395.520 ns,230134,230443,,Green
798.720 ns,230443,231067,,Purple
798.720 ns,231067,231691,,Green
395.520 ns,231691,232000,,Purple
403.200 ns,232000,232315,,Green
791.040 ns,232315,232933,,Purple
403.200 ns,232933,233248,,Green
395.520 ns,233248,233557,,Purple
798.720 ns,233557,234181,,Green
395.520 ns,234181,234490,,Purple
403.200 ns,234490,234805,,Green
395.520 ns,234805,235114,,Purple
